Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR11847340,replacement_normal,replacement normal,control,manual_override,manual_multi_class
SRR11847354,replacement_normal,replacement normal,control,manual_override,manual_multi_class
SRR11847357,replacement_tumor,replacement tumor,treatment,manual_override,manual_multi_class
SRR11847335,replacement_tumor,replacement tumor,treatment,manual_override,manual_multi_class
SRR11847332,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847350,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847331,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847355,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847349,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847341,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847329,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847348,replacement_normal,replacement normal,control,manual_override,manual_multi_class
SRR11847346,replacement_normal,replacement normal,control,manual_override,manual_multi_class
SRR11847344,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847352,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847342,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847333,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847358,replacement_normal,replacement normal,control,manual_override,manual_multi_class
SRR11847337,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847339,replacement_tumor,replacement tumor,treatment,manual_override,manual_multi_class
SRR11847353,replacement_tumor,replacement tumor,treatment,manual_override,manual_multi_class
SRR11847334,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847351,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847330,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847338,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847345,replacement_tumor,replacement tumor,treatment,manual_override,manual_multi_class
SRR11847343,desmoplastic_tumor,desmoplastic tumor,treatment,manual_override,manual_multi_class
SRR11847356,desmoplastic_normal,desmoplastic normal,control,manual_override,manual_multi_class
SRR11847347,replacement_tumor,replacement tumor,treatment,manual_override,manual_multi_class
SRR11847336,replacement_normal,replacement normal,control,manual_override,manual_multi_class
