Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR25735645,pt13,Pt13,class,manual_override,manual_multi_class
SRR25846709,pt15,Pt15,class,manual_override,manual_multi_class
SRR25846710,pt13,Pt13,class,manual_override,manual_multi_class
SRR25734444,pt4,Pt4,class,manual_override,manual_multi_class
SRR25734166,pt1,Pt1,class,manual_override,manual_multi_class
SRR25735563,pt9,Pt9,class,manual_override,manual_multi_class
SRR25846716,pt1,Pt1,class,manual_override,manual_multi_class
SRR25734699,pt5,Pt5,class,manual_override,manual_multi_class
SRR25846713,pt9,Pt9,class,manual_override,manual_multi_class
SRR25846702,pt5,Pt5,class,manual_override,manual_multi_class
SRR25846712,pt9,Pt9,class,manual_override,manual_multi_class
SRR25734300,pt2,Pt2,class,manual_override,manual_multi_class
SRR25735650,pt15,Pt15,class,manual_override,manual_multi_class
SRR25846715,pt1,Pt1,class,manual_override,manual_multi_class
SRR25734298,pt2,Pt2,class,manual_override,manual_multi_class
SRR25846703,pt4,Pt4,class,manual_override,manual_multi_class
SRR25846714,pt7,Pt7,class,manual_override,manual_multi_class
SRR25734175,pt1,Pt1,class,manual_override,manual_multi_class
SRR25846711,pt13,Pt13,class,manual_override,manual_multi_class
SRR25735493,pt5,Pt5,class,manual_override,manual_multi_class
SRR25734445,pt7,Pt7,class,manual_override,manual_multi_class
SRR25846706,pt2,Pt2,class,manual_override,manual_multi_class
SRR25846701,pt5,Pt5,class,manual_override,manual_multi_class
SRR25735599,pt13,Pt13,class,manual_override,manual_multi_class
SRR25735651,pt15,Pt15,class,manual_override,manual_multi_class
SRR25735570,pt9,Pt9,class,manual_override,manual_multi_class
SRR25846700,pt7,Pt7,class,manual_override,manual_multi_class
SRR25846704,pt3,Pt3,class,manual_override,manual_multi_class
SRR25734447,pt7,Pt7,class,manual_override,manual_multi_class
SRR25846707,pt15,Pt15,class,manual_override,manual_multi_class
SRR25734302,pt3,Pt3,class,manual_override,manual_multi_class
SRR25846708,pt2,Pt2,class,manual_override,manual_multi_class
