Run,condition,condition_raw,condition_role,class_field,metadata_status
SRR26033667,normal,Normal,control,manual_override,manual_two_class
SRR26033658,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033664,normal,Normal,control,manual_override,manual_two_class
SRR26033670,normal,Normal,control,manual_override,manual_two_class
SRR26033685,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033683,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033687,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033677,normal,Normal,control,manual_override,manual_two_class
SRR26033656,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033674,normal,Normal,control,manual_override,manual_two_class
SRR26033671,normal,Normal,control,manual_override,manual_two_class
SRR26033681,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033676,normal,Normal,control,manual_override,manual_two_class
SRR26033669,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033660,normal,Normal,control,manual_override,manual_two_class
SRR26033665,normal,Normal,control,manual_override,manual_two_class
SRR26033663,normal,Normal,control,manual_override,manual_two_class
SRR26033690,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033659,normal,Normal,control,manual_override,manual_two_class
SRR26033678,normal,Normal,control,manual_override,manual_two_class
SRR26033654,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033657,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033680,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033688,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033668,normal,Normal,control,manual_override,manual_two_class
SRR26033661,normal,Normal,control,manual_override,manual_two_class
SRR26033675,normal,Normal,control,manual_override,manual_two_class
SRR26033692,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033673,normal,Normal,control,manual_override,manual_two_class
SRR26033689,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033691,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033662,normal,Normal,control,manual_override,manual_two_class
SRR26033655,tumor,Tumor,treatment,manual_override,manual_two_class
SRR26033672,normal,Normal,control,manual_override,manual_two_class
SRR26033679,normal,Normal,control,manual_override,manual_two_class
SRR26033666,normal,Normal,control,manual_override,manual_two_class
SRR26033653,tumor,Tumor,treatment,manual_override,manual_two_class
